Time [sec], Encoder [-], Position [rad], Speed [rad/s], Voltage [V], Current [A]
      2.19,        1844,         2.4436,      2.252769,      2.0481,        0.03
      2.20,        1860,         2.4648,      2.120256,      2.0528,        0.07
      2.21,        1877,         2.4873,      2.252793,      2.0509,        0.05
      2.22,        1893,         2.5085,      2.120256,      2.0416,        0.03
      2.23,        1910,         2.5311,      2.252793,      2.0509,        0.05
      2.24,        1927,         2.5536,      2.252769,      2.0547,        0.06
      2.25,        1943,         2.5748,      2.120256,      2.0472,        0.03
      2.26,        1960,         2.5973,      2.252793,      2.0509,        0.04
      2.27,        1977,         2.6198,      2.252769,      2.0538,        0.05
      2.28,        1993,         2.6411,      2.120280,      2.0453,        0.05
      2.29,        2009,         2.6623,      2.120233,      2.0500,        0.05
      2.30,        2025,         2.6835,      2.120280,      2.0538,        0.09
      2.31,        2041,         2.7047,      2.120256,      2.0500,        0.03
      2.32,        2058,         2.7272,      2.252769,      2.0491,        0.03
      2.33,        2074,         2.7484,      2.120280,      2.0444,        0.05
      2.34,        2090,         2.7696,      2.120256,      2.0519,        0.05
      2.35,        2107,         2.7921,      2.252769,      2.0491,        0.05
      2.36,        2124,         2.8146,      2.252793,      2.0500,        0.07
      2.37,        2140,         2.8359,      2.120256,      2.0500,        0.05
      2.38,        2157,         2.8584,      2.252769,      2.0538,        0.05
      2.39,        2173,         2.8796,      2.120280,      2.0528,        0.05
      2.40,        2190,         2.9021,      2.252769,      2.0519,        0.04
      2.41,        2206,         2.9233,      2.120256,      2.0528,        0.04
      2.42,        2223,         2.9458,      2.252793,      2.0528,        0.05
      2.43,        2239,         2.9670,      2.120256,      2.0491,        0.05
      2.44,        2256,         2.9896,      2.252793,      2.0528,        0.04
      2.45,        2272,         3.0108,      2.120233,      2.0509,        0.05
      2.46,        2289,         3.0333,      2.252793,      2.0538,        0.05
      2.47,        2305,         3.0545,      2.120256,      2.0528,        0.05
      2.48,        2322,         3.0770,      2.252769,      2.0509,        0.05
      2.49,        2339,         3.0996,      2.252793,      2.0528,        0.05
      2.50,        2355,         3.1208,      2.120256,      2.0500,        0.05
      2.51,        2372,         3.1433,      2.252769,      2.0519,        0.05
      2.52,        2389,         3.1658,      2.252769,      2.0500,        0.05
      2.53,        2406,         3.1883,      2.252817,      2.0519,        0.05
      2.54,        2422,         3.2095,      2.120233,      2.0519,        0.05
      2.55,        2439,         3.2321,      2.252817,      2.0509,        0.05
      2.56,        2456,         3.2546,      2.252769,      2.0472,        0.05
      2.57,        2473,         3.2771,      2.252769,      2.0519,        0.05
      2.58,        2490,         3.2997,      2.252769,      2.0500,        0.00
      2.59,        2506,         3.3209,      2.120280,      2.0519,        0.05
      2.60,        2523,         3.3434,      2.252769,      2.0472,        0.05
      2.61,        2540,         3.3659,      2.252769,      2.0491,        0.09
      2.62,        2556,         3.3871,      2.120280,      2.0491,        0.05
      2.63,        2573,         3.4096,      2.252769,      2.0519,        0.05
      2.64,        2589,         3.4308,      2.120256,      2.0463,        0.02
      2.65,        2606,         3.4534,      2.252769,      2.0538,        0.03
      2.66,        2622,         3.4746,      2.120280,      2.0509,        0.05
      2.67,        2639,         3.4971,      2.252769,      2.0435,        0.03
      2.68,        2656,         3.5196,      2.252769,      2.0528,        0.05
      2.69,        2672,         3.5408,      2.120280,      2.0547,        0.05
      2.70,        2689,         3.5634,      2.252769,      2.0528,        0.05
      2.71,        2706,         3.5859,      2.252769,      2.0491,        0.05
      2.72,        2722,         3.6071,      2.120280,      2.0472,        0.05
      2.73,        2739,         3.6296,      2.252769,      2.0528,        0.03
      2.74,        2755,         3.6508,      2.120280,      2.0491,        0.05
      2.75,        2772,         3.6734,      2.252769,      2.0500,        0.05
      2.76,        2789,         3.6959,      2.252769,      2.0519,        0.05
      2.77,        2805,         3.7171,      2.120256,      2.0500,        0.04
      2.78,        2822,         3.7396,      2.252769,      2.0500,        0.05
      2.79,        2839,         3.7621,      2.252793,      2.0481,        0.06
      2.80,        2856,         3.7847,      2.252793,      2.0500,        0.05
      2.81,        2872,         3.8059,      2.120233,      2.0500,        0.05
      2.82,        2889,         3.8284,      2.252817,      2.0491,        0.05
      2.83,        2906,         3.8509,      2.252769,      2.0453,        0.03
      2.84,        2922,         3.8721,      2.120233,      2.0491,        0.05
      2.85,        2939,         3.8947,      2.252817,      2.0509,        0.16
      2.86,        2955,         3.9159,      2.120233,      2.0509,        0.05
      2.87,        2972,         3.9384,      2.252817,      2.0472,        0.05
      2.88,        2988,         3.9596,      2.120233,      2.0491,        0.05
      2.89,        3005,         3.9821,      2.252769,      2.0509,        0.05
      2.90,        3021,         4.0033,      2.120256,      2.0491,        0.04
      2.91,        3037,         4.0245,      2.120304,      2.0491,        0.05
      2.92,        3054,         4.0471,      2.252769,      2.0528,        0.05
